center,bldg,floor,time,raw,norm
Briscoe,Shoemaker,Floor 03,15:30:00,7,0.137250032
Briscoe,Shoemaker,Floor 03,16:00:00,8,0.332727351
Briscoe,Shoemaker,Floor 03,16:30:00,8,0.332727351
Briscoe,Shoemaker,Floor 03,17:00:00,7,0.137250032
Briscoe,Shoemaker,Floor 03,17:30:00,5,-0.253704605
Briscoe,Shoemaker,Floor 03,18:00:00,7,0.137250032
Briscoe,Shoemaker,Floor 03,18:30:00,7,0.137250032
Briscoe,Shoemaker,Floor 03,19:00:00,10,0.723681988
Briscoe,Shoemaker,Floor 03,19:30:00,11,0.919159307
Briscoe,Shoemaker,Floor 03,20:00:00,13,1.310113944
Briscoe,Shoemaker,Floor 03,20:30:00,15,1.701068582
Briscoe,Shoemaker,Floor 03,21:00:00,22,3.069409812
Briscoe,Shoemaker,Floor 03,21:30:00,17,2.092023219
Briscoe,Shoemaker,Floor 03,22:00:00,11,0.919159307
Briscoe,Shoemaker,Floor 03,22:30:00,14,1.505591263
Briscoe,Shoemaker,Floor 03,23:00:00,11,0.919159307
Briscoe,Shoemaker,Floor 03,23:30:00,8,0.332727351
Briscoe,Shoemaker,Floor 04,00:00:00,2,-0.836878371
Briscoe,Shoemaker,Floor 04,00:30:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,01:00:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,01:30:00,2,-0.836878371
Briscoe,Shoemaker,Floor 04,02:00:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,02:30:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,03:00:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,03:30:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 04,04:30:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,05:00:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,05:30:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,06:00:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,06:30:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,07:00:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,07:30:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,08:00:00,2,-0.836878371
Briscoe,Shoemaker,Floor 04,08:30:00,2,-0.836878371
Briscoe,Shoemaker,Floor 04,09:00:00,1,-1.004254045
Briscoe,Shoemaker,Floor 04,09:30:00,0,-1.17162972
Briscoe,Shoemaker,Floor 04,10:00:00,3,-0.669502697
Briscoe,Shoemaker,Floor 04,10:30:00,9,0.334751348
Briscoe,Shoemaker,Floor 04,11:00:00,8,0.167375674
Briscoe,Shoemaker,Floor 04,11:30:00,13,1.004254045
Briscoe,Shoemaker,Floor 04,12:00:00,14,1.17162972
Briscoe,Shoemaker,Floor 04,12:30:00,14,1.17162972
Briscoe,Shoemaker,Floor 04,13:00:00,15,1.339005394
Briscoe,Shoemaker,Floor 04,13:30:00,11,0.669502697
Briscoe,Shoemaker,Floor 04,14:00:00,15,1.339005394
Briscoe,Shoemaker,Floor 04,14:30:00,14,1.17162972
Briscoe,Shoemaker,Floor 04,15:00:00,16,1.506381068
Briscoe,Shoemaker,Floor 04,15:30:00,18,1.841132416
Briscoe,Shoemaker,Floor 04,16:00:00,13,1.004254045
Briscoe,Shoemaker,Floor 04,16:30:00,17,1.673756742
Briscoe,Shoemaker,Floor 04,17:00:00,13,1.004254045
Briscoe,Shoemaker,Floor 04,17:30:00,11,0.669502697
Briscoe,Shoemaker,Floor 04,18:00:00,10,0.502127023
Briscoe,Shoemaker,Floor 04,18:30:00,8,0.167375674
Briscoe,Shoemaker,Floor 04,19:00:00,11,0.669502697
Briscoe,Shoemaker,Floor 04,19:30:00,6,-0.167375674
Briscoe,Shoemaker,Floor 04,20:00:00,9,0.334751348
Briscoe,Shoemaker,Floor 04,20:30:00,6,-0.167375674
Briscoe,Shoemaker,Floor 04,21:00:00,12,0.836878371
Briscoe,Shoemaker,Floor 04,21:30:00,12,0.836878371
Briscoe,Shoemaker,Floor 04,22:00:00,10,0.502127023
Briscoe,Shoemaker,Floor 04,22:30:00,14,1.17162972
Briscoe,Shoemaker,Floor 04,23:00:00,9,0.334751348
Briscoe,Shoemaker,Floor 04,23:30:00,3,-0.669502697
Briscoe,Shoemaker,Floor 05,00:00:00,4,-0.485328183
Briscoe,Shoemaker,Floor 05,00:30:00,3,-0.654294292
Briscoe,Shoemaker,Floor 05,01:00:00,2,-0.8232604
Briscoe,Shoemaker,Floor 05,01:30:00,2,-0.8232604
Briscoe,Shoemaker,Floor 05,02:00:00,1,-0.992226508
Briscoe,Shoemaker,Floor 05,02:30:00,1,-0.992226508
Briscoe,Shoemaker,Floor 05,03:00:00,1,-0.992226508
Briscoe,Shoemaker,Floor 05,03:30:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 05,04:30:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,05:00:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,05:30:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,06:00:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,06:30:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,07:00:00,0,-1.161192616
Briscoe,Shoemaker,Floor 05,07:30:00,1,-0.992226508
Briscoe,Shoemaker,Floor 05,08:00:00,3,-0.654294292
Briscoe,Shoemaker,Floor 05,08:30:00,2,-0.8232604
Briscoe,Shoemaker,Floor 05,09:00:00,2,-0.8232604
Briscoe,Shoemaker,Floor 05,09:30:00,1,-0.992226508
Briscoe,Shoemaker,Floor 05,10:00:00,1,-0.992226508
Briscoe,Shoemaker,Floor 05,10:30:00,3,-0.654294292
Briscoe,Shoemaker,Floor 05,11:00:00,3,-0.654294292
Briscoe,Shoemaker,Floor 05,11:30:00,5,-0.316362075
Briscoe,Shoemaker,Floor 05,12:00:00,7,0.021570141
Briscoe,Shoemaker,Floor 05,12:30:00,12,0.866400683
Briscoe,Shoemaker,Floor 05,13:00:00,14,1.204332899
Briscoe,Shoemaker,Floor 05,13:30:00,15,1.373299008
Briscoe,Shoemaker,Floor 05,14:00:00,7,0.021570141
Briscoe,Shoemaker,Floor 05,14:30:00,12,0.866400683
Briscoe,Shoemaker,Floor 05,15:00:00,14,1.204332899
Briscoe,Shoemaker,Floor 05,15:30:00,11,0.697434575
Briscoe,Shoemaker,Floor 05,16:00:00,9,0.359502358
Briscoe,Shoemaker,Floor 05,16:30:00,11,0.697434575
Briscoe,Shoemaker,Floor 05,17:00:00,12,0.866400683
Briscoe,Shoemaker,Floor 05,17:30:00,9,0.359502358
Briscoe,Shoemaker,Floor 05,18:00:00,11,0.697434575
Briscoe,Shoemaker,Floor 05,18:30:00,13,1.035366791
Briscoe,Shoemaker,Floor 05,19:00:00,7,0.021570141
Briscoe,Shoemaker,Floor 05,19:30:00,9,0.359502358
Briscoe,Shoemaker,Floor 05,20:00:00,14,1.204332899
Briscoe,Shoemaker,Floor 05,20:30:00,17,1.711231224
Briscoe,Shoemaker,Floor 05,21:00:00,17,1.711231224
Briscoe,Shoemaker,Floor 05,21:30:00,20,2.218129549
Briscoe,Shoemaker,Floor 05,22:00:00,15,1.373299008
Briscoe,Shoemaker,Floor 05,22:30:00,13,1.035366791
Briscoe,Shoemaker,Floor 05,23:00:00,12,0.866400683
Briscoe,Shoemaker,Floor 05,23:30:00,7,0.021570141
Briscoe,Shoemaker,Floor 06,00:00:00,5,-0.454396936
Briscoe,Shoemaker,Floor 06,00:30:00,2,-0.947242844
Briscoe,Shoemaker,Floor 06,01:00:00,1,-1.111524814
Briscoe,Shoemaker,Floor 06,01:30:00,4,-0.618678906
Briscoe,Shoemaker,Floor 06,02:00:00,4,-0.618678906
Briscoe,Shoemaker,Floor 06,02:30:00,0,-1.275806783
Briscoe,Shoemaker,Floor 06,03:00:00,2,-0.947242844
Briscoe,Shoemaker,Floor 06,03:30:00,1,-1.111524814
Briscoe,Shoemaker,Floor 06,04:00:00,NaN,NaN
Briscoe,Shoemaker,Floor 06,04:30:00,0,-1.275806783
Briscoe,Shoemaker,Floor 06,05:00:00,0,-1.275806783
Briscoe,Shoemaker,Floor 06,05:30:00,0,-1.275806783
Briscoe,Shoemaker,Floor 06,06:00:00,0,-1.275806783
Briscoe,Shoemaker,Floor 06,06:30:00,2,-0.947242844
Briscoe,Shoemaker,Floor 06,07:00:00,2,-0.947242844
Briscoe,Shoemaker,Floor 06,07:30:00,2,-0.947242844
Briscoe,Shoemaker,Floor 06,08:00:00,1,-1.111524814
Briscoe,Shoemaker,Floor 06,08:30:00,2,-0.947242844
Briscoe,Shoemaker,Floor 06,09:00:00,1,-1.111524814
Briscoe,Shoemaker,Floor 06,09:30:00,1,-1.111524814
Briscoe,Shoemaker,Floor 06,10:00:00,1,-1.111524814
Briscoe,Shoemaker,Floor 06,10:30:00,3,-0.782960875
Briscoe,Shoemaker,Floor 06,11:00:00,9,0.202730941
Briscoe,Shoemaker,Floor 06,11:30:00,7,-0.125832998
Briscoe,Shoemaker,Floor 06,12:00:00,9,0.202730941
Briscoe,Shoemaker,Floor 06,12:30:00,11,0.531294879
Briscoe,Shoemaker,Floor 06,13:00:00,15,1.188422757
Briscoe,Shoemaker,Floor 06,13:30:00,13,0.859858818
Briscoe,Shoemaker,Floor 06,14:00:00,10,0.36701291
Briscoe,Shoemaker,Floor 06,14:30:00,14,1.024140787
Briscoe,Shoemaker,Floor 06,15:00:00,12,0.695576849
Briscoe,Shoemaker,Floor 06,15:30:00,18,1.681268665
Briscoe,Shoemaker,Floor 06,16:00:00,12,0.695576849
Briscoe,Shoemaker,Floor 06,16:30:00,13,0.859858818
Briscoe,Shoemaker,Floor 06,17:00:00,15,1.188422757
Briscoe,Shoemaker,Floor 06,17:30:00,17,1.516986695
Briscoe,Shoemaker,Floor 06,18:00:00,15,1.188422757
Briscoe,Shoemaker,Floor 06,18:30:00,14,1.024140787
Briscoe,Shoemaker,Floor 06,19:00:00,9,0.202730941
Briscoe,Shoemaker,Floor 06,19:30:00,10,0.36701291
