center,bldg,floor,time,raw,norm
Briscoe,Gucker,Floor 04,00:30:00,8,-0.129122206
Briscoe,Gucker,Floor 04,01:00:00,6,-0.457162406
Briscoe,Gucker,Floor 04,01:30:00,5,-0.621182506
Briscoe,Gucker,Floor 04,02:00:00,5,-0.621182506
Briscoe,Gucker,Floor 04,02:30:00,5,-0.621182506
Briscoe,Gucker,Floor 04,03:00:00,3,-0.949222706
Briscoe,Gucker,Floor 04,03:30:00,1,-1.277262906
Briscoe,Gucker,Floor 04,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 04,04:30:00,1,-1.277262906
Briscoe,Gucker,Floor 04,05:00:00,1,-1.277262906
Briscoe,Gucker,Floor 04,05:30:00,2,-1.113242806
Briscoe,Gucker,Floor 04,06:00:00,2,-1.113242806
Briscoe,Gucker,Floor 04,06:30:00,1,-1.277262906
Briscoe,Gucker,Floor 04,07:00:00,1,-1.277262906
Briscoe,Gucker,Floor 04,07:30:00,1,-1.277262906
Briscoe,Gucker,Floor 04,08:00:00,1,-1.277262906
Briscoe,Gucker,Floor 04,08:30:00,1,-1.277262906
Briscoe,Gucker,Floor 04,09:00:00,1,-1.277262906
Briscoe,Gucker,Floor 04,09:30:00,3,-0.949222706
Briscoe,Gucker,Floor 04,10:00:00,3,-0.949222706
Briscoe,Gucker,Floor 04,10:30:00,7,-0.293142306
Briscoe,Gucker,Floor 04,11:00:00,6,-0.457162406
Briscoe,Gucker,Floor 04,11:30:00,11,0.362938094
Briscoe,Gucker,Floor 04,12:00:00,9,0.034897894
Briscoe,Gucker,Floor 04,12:30:00,8,-0.129122206
Briscoe,Gucker,Floor 04,13:00:00,7,-0.293142306
Briscoe,Gucker,Floor 04,13:30:00,15,1.019018494
Briscoe,Gucker,Floor 04,14:00:00,16,1.183038594
Briscoe,Gucker,Floor 04,14:30:00,11,0.362938094
Briscoe,Gucker,Floor 04,15:00:00,12,0.526958194
Briscoe,Gucker,Floor 04,15:30:00,12,0.526958194
Briscoe,Gucker,Floor 04,16:00:00,16,1.183038594
Briscoe,Gucker,Floor 04,16:30:00,9,0.034897894
Briscoe,Gucker,Floor 04,17:00:00,13,0.690978294
Briscoe,Gucker,Floor 04,17:30:00,15,1.019018494
Briscoe,Gucker,Floor 04,18:00:00,16,1.183038594
Briscoe,Gucker,Floor 04,18:30:00,21,2.003139094
Briscoe,Gucker,Floor 04,19:00:00,22,2.167159193
Briscoe,Gucker,Floor 04,19:30:00,16,1.183038594
Briscoe,Gucker,Floor 04,20:00:00,15,1.019018494
Briscoe,Gucker,Floor 04,20:30:00,17,1.347058694
Briscoe,Gucker,Floor 04,21:00:00,15,1.019018494
Briscoe,Gucker,Floor 04,21:30:00,17,1.347058694
Briscoe,Gucker,Floor 04,22:00:00,13,0.690978294
Briscoe,Gucker,Floor 04,22:30:00,11,0.362938094
Briscoe,Gucker,Floor 04,23:00:00,12,0.526958194
Briscoe,Gucker,Floor 04,23:30:00,10,0.198917994
Briscoe,Gucker,Floor 05,00:00:00,8,0.089800741
Briscoe,Gucker,Floor 05,00:30:00,7,-0.072531368
Briscoe,Gucker,Floor 05,01:00:00,5,-0.397195587
Briscoe,Gucker,Floor 05,01:30:00,2,-0.884191915
Briscoe,Gucker,Floor 05,02:00:00,3,-0.721859805
Briscoe,Gucker,Floor 05,02:30:00,3,-0.721859805
Briscoe,Gucker,Floor 05,03:00:00,0,-1.208856133
Briscoe,Gucker,Floor 05,03:30:00,0,-1.208856133
Briscoe,Gucker,Floor 05,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 05,04:30:00,0,-1.208856133
Briscoe,Gucker,Floor 05,05:00:00,0,-1.208856133
Briscoe,Gucker,Floor 05,05:30:00,0,-1.208856133
Briscoe,Gucker,Floor 05,06:00:00,0,-1.208856133
Briscoe,Gucker,Floor 05,06:30:00,1,-1.046524024
Briscoe,Gucker,Floor 05,07:00:00,1,-1.046524024
Briscoe,Gucker,Floor 05,07:30:00,1,-1.046524024
Briscoe,Gucker,Floor 05,08:00:00,1,-1.046524024
Briscoe,Gucker,Floor 05,08:30:00,0,-1.208856133
Briscoe,Gucker,Floor 05,09:00:00,1,-1.046524024
Briscoe,Gucker,Floor 05,09:30:00,1,-1.046524024
Briscoe,Gucker,Floor 05,10:00:00,1,-1.046524024
Briscoe,Gucker,Floor 05,10:30:00,2,-0.884191915
Briscoe,Gucker,Floor 05,11:00:00,4,-0.559527696
Briscoe,Gucker,Floor 05,11:30:00,5,-0.397195587
Briscoe,Gucker,Floor 05,12:00:00,8,0.089800741
Briscoe,Gucker,Floor 05,12:30:00,8,0.089800741
Briscoe,Gucker,Floor 05,13:00:00,8,0.089800741
Briscoe,Gucker,Floor 05,13:30:00,9,0.252132851
Briscoe,Gucker,Floor 05,14:00:00,10,0.41446496
Briscoe,Gucker,Floor 05,14:30:00,12,0.739129179
Briscoe,Gucker,Floor 05,15:00:00,11,0.576797069
Briscoe,Gucker,Floor 05,15:30:00,14,1.063793397
Briscoe,Gucker,Floor 05,16:00:00,12,0.739129179
Briscoe,Gucker,Floor 05,16:30:00,17,1.550789725
Briscoe,Gucker,Floor 05,17:00:00,15,1.226125507
Briscoe,Gucker,Floor 05,17:30:00,16,1.388457616
Briscoe,Gucker,Floor 05,18:00:00,8,0.089800741
Briscoe,Gucker,Floor 05,18:30:00,18,1.713121834
Briscoe,Gucker,Floor 05,19:00:00,11,0.576797069
Briscoe,Gucker,Floor 05,19:30:00,14,1.063793397
Briscoe,Gucker,Floor 05,20:00:00,22,2.362450272
Briscoe,Gucker,Floor 05,20:30:00,15,1.226125507
Briscoe,Gucker,Floor 05,21:00:00,15,1.226125507
Briscoe,Gucker,Floor 05,21:30:00,14,1.063793397
Briscoe,Gucker,Floor 05,22:00:00,12,0.739129179
Briscoe,Gucker,Floor 05,22:30:00,13,0.901461288
Briscoe,Gucker,Floor 05,23:00:00,12,0.739129179
Briscoe,Gucker,Floor 05,23:30:00,10,0.41446496
Briscoe,Gucker,Floor 06,00:00:00,5,-0.344410739
Briscoe,Gucker,Floor 06,00:30:00,4,-0.486404641
Briscoe,Gucker,Floor 06,01:00:00,2,-0.770392444
Briscoe,Gucker,Floor 06,01:30:00,2,-0.770392444
Briscoe,Gucker,Floor 06,02:00:00,2,-0.770392444
Briscoe,Gucker,Floor 06,02:30:00,1,-0.912386345
Briscoe,Gucker,Floor 06,03:00:00,1,-0.912386345
Briscoe,Gucker,Floor 06,03:30:00,0,-1.054380246
Briscoe,Gucker,Floor 06,04:00:00,NaN,NaN
Briscoe,Gucker,Floor 06,04:30:00,0,-1.054380246
Briscoe,Gucker,Floor 06,05:00:00,0,-1.054380246
Briscoe,Gucker,Floor 06,05:30:00,0,-1.054380246
Briscoe,Gucker,Floor 06,06:00:00,0,-1.054380246
Briscoe,Gucker,Floor 06,06:30:00,0,-1.054380246
Briscoe,Gucker,Floor 06,07:00:00,0,-1.054380246
Briscoe,Gucker,Floor 06,07:30:00,1,-0.912386345
Briscoe,Gucker,Floor 06,08:00:00,2,-0.770392444
Briscoe,Gucker,Floor 06,08:30:00,1,-0.912386345
